GROUP_ID|LINK_ID|POSITIVE|BND_IDX|BND_TYPE|COLOR|BND_COVER
53266500320035910|5326650032003591|0|1|3|6|0
53266500320035910|5326650032003591|0|2|3|0|0
53266500320035910|5326650032003591|0|3|0|15|0
53266500320035911|5326650032003591|1|1|3|6|0
53266500320035911|5326650032003591|1|2|3|0|3
53266500320035911|5326650032003591|1|3|11|15|0
53266500320035930|5326650032003593|0|1|3|6|0
53266500320035930|5326650032003593|0|2|3|0|0
53266500320035930|5326650032003593|0|3|0|15|0
53266500320035931|5326650032003593|1|1|3|6|0
53266500320035931|5326650032003593|1|2|3|0|3
53266500320035931|5326650032003593|1|3|11|15|0
53266500320035950|5326650032003595|0|1|3|6|0
53266500320035950|5326650032003595|0|2|3|0|0
53266500320035950|5326650032003595|0|3|0|15|0
53266500320035951|5326650032003595|1|1|3|6|0
53266500320035951|5326650032003595|1|2|3|0|3
53266500320035951|5326650032003595|1|3|11|15|0
53266500320036061|5326650032003606|1|1|11|15|0
53266500320036061|5326650032003606|1|2|3|6|0
53266500320036061|5326650032003606|1|3|3|0|0
53266500320036061|5326650032003606|1|4|0|15|0
53266500320037701|5326650032003770|1|1|0|15|0
53266500320037701|5326650032003770|1|2|1|0|0
53266500320037701|5326650032003770|1|3|1|0|0
53266500320037701|5326650032003770|1|4|3|0|0
53266500320037741|5326650032003774|1|1|0|15|0
53266500320037741|5326650032003774|1|2|3|6|0
53266500320037741|5326650032003774|1|3|1|0|0
53266500320037741|5326650032003774|1|4|1|0|0
53266500320037741|5326650032003774|1|5|4|0|0
53266500320037821|5326650032003782|1|1|3|0|0
53266500320037821|5326650032003782|1|2|3|0|0
53266500320037821|5326650032003782|1|3|0|15|0
53266500320037921|5326650032003792|1|1|0|15|0
53266500320037921|5326650032003792|1|2|3|0|0
53266500320037921|5326650032003792|1|3|3|0|0
53266500320037921|5326650032003792|1|4|0|15|0
53266500320037921|5326650032003792|1|5|22|15|3
53266500320037931|5326650032003793|1|1|22|15|3
53266500320037931|5326650032003793|1|2|0|15|0
53266500320037931|5326650032003793|1|3|3|0|0
53266500320037931|5326650032003793|1|4|3|0|0
53266500320037931|5326650032003793|1|5|0|15|0
53266500320037931|5326650032003793|1|6|22|15|1
53266500320037951|5326650032003795|1|1|0|15|0
53266500320037951|5326650032003795|1|2|3|0|0
53266500320037951|5326650032003795|1|3|3|0|0
53266500320037951|5326650032003795|1|4|0|15|0
53266500320037991|5326650032003799|1|1|0|15|0
