FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-73.70399431837107/-0.5553580575963188/-1209.7429424693878,0.0/0.0/0.0,B319BS010030
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-81.98996752337914/-0.565198782101805/-1192.6074643966792,0.0/0.0/0.0,B319BS010031
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-79.49964370187824/-0.567663191415109/-1192.7283392123247,0.0/0.0/0.0,B319BS010032
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-77.86761844691247/-0.571594558195886/-1193.922063820455,0.0/0.0/0.0,B319BS010033
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-100.302147357508/-0.5951406880136029/-1180.8805045906945,0.0/0.0/0.0,B319BS010034
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-102.91136578201937/-0.5782233624243012/-1180.8366371960938,0.0/0.0/0.0,B319BS010035
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-104.20575524041413/-0.5770159569365062/-1179.195787657114,0.0/0.0/0.0,B319BS010036
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-115.4813166146315/-0.5721268259711076/-1186.3432041439528,0.0/0.0/0.0,B319BS010037
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-114.9000959176098/-0.5671547226357202/-1184.0998197834929,0.0/0.0/0.0,B319BS010038
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-114.08354427401285/-0.5778646238935767/-1182.2375370848104,0.0/0.0/0.0,B319BS010039
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-109.007071611027/-0.5414313525995653/-1180.03216141996,0.0/0.0/0.0,B319BS010040
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-110.06650326777986/-0.5920264824700459/-1171.1046092342713,0.0/0.0/0.0,B319BS010041
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-113.08447137200424/-0.5844703743734391/-1176.4574616540142,0.0/0.0/0.0,B319BS010042
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-105.34049409428462/-0.5661655906207939/-1173.1778654968107,0.0/0.0/0.0,B319BS010043
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-115.65138607236582/-0.6299429353862651/-1172.9920276370112,0.0/0.0/0.0,B319BS010044
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-86.18067858340143/-0.5679396008154671/-1232.5632167011004,0.0/0.0/0.0,B319BS010045
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-86.80600658216076/-0.564230470582646/-1234.7868176016345,0.0/0.0/0.0,B319BS010046
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-102.45270777421769/-0.5566108403626219/-1237.754668976688,0.0/0.0/0.0,B319BS010047
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-100.19081496303795/-0.5548755519850788/-1238.3541690363904,0.0/0.0/0.0,B319BS010048
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-104.60861729316662/-0.5890465013414962/-1164.1476461883194,0.0/0.0/0.0,B319BS010049
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-105.16986667218254/-0.5924861021986564/-1166.4206670122805,0.0/0.0/0.0,B319BS010050
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_534.fbx,-106.34992391933534/-0.6083671907555713/-1168.0144633640623,0.0/0.0/0.0,B319BS010051
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-94.99427510990378/-0.5384692897732595/-1252.1654337766774,0.0/0.0/0.0,B319BS010052
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-95.56933880135233/-0.5413642047752795/-1254.3980745196181,0.0/0.0/0.0,B319BS010053
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-137.0394498136652/-0.6090049026271372/-1464.5426766712878,0.0/0.0/0.0,B319BS010054
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-136.48144785376323/-0.6067284328333579/-1468.7762426598097,0.0/0.0/0.0,B319BS010055
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-143.49574809036403/-0.6064744281281014/-1415.0033708644921,0.0/0.0/0.0,B319BS010056
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-142.89523746316542/-0.6016127396662256/-1418.2238169833392,0.0/0.0/0.0,B319BS010057
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-122.72401278955208/-0.6449810280486232/-1490.7533266589496,0.0/0.0/0.0,B319BS010058
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-119.48010427300854/-0.6400051925910933/-1490.1345785425538,0.0/0.0/0.0,B319BS010059
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-151.10529342616772/-0.6163728818770733/-1490.3277678728766,0.0/0.0/0.0,B319BS010060
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-154.34797227389583/-0.633117921772051/-1490.8983634385093,0.0/0.0/0.0,B319BS010061
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-136.9555490414166/-0.6079753524183837/-1510.5311830678525,0.0/0.0/0.0,B319BS010062
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5321.fbx,-136.38003784083892/-0.6058505060944178/-1514.7930952588322,0.0/0.0/0.0,B319BS010063
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-185.46545873415843/-0.612500015258294/-1040.8684978029378,0.0/0.0/0.0,B319BS010064
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-188.4079833340503/-0.33466146516452333/-1038.0849401613139,0.0/0.0/0.0,B319BS010065
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-206.03495876223528/-0.719499412536335/-1084.8844978030988,0.0/0.0/0.0,B319BS010066
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-214.44845877311306/-0.5769994888278656/-1111.9249978023759,0.0/0.0/0.0,B319BS010067
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-209.66145876581544/-0.6964999517742158/-1112.0609977984009,0.0/0.0/0.0,B319BS010068
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5381.fbx,406.30904209482054/0.034500297552355896/-106.48499779658465,0.0/0.0/0.0,B319BS010069
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,76.95374618994279/0.13228390168315765/241.27696677442876,0.0/0.0/0.0,B319BS010070
Assets/1_Module/Map/MapManagerModule/RoadObject/Models/KR_SurfaceMarking/KR,05_SurfMark_5371.fbx,-89.70095855390052/-0.5775001678462045/-2004.3289977985346,0.0/0.0/0.0,B319BS010071
